id,category,question_type,content,options,answer,score
1,universal,single,美嘉胜是哪两家公司战略合作的产物？,"[""华为+小米"",""华胜+小米"",""华胜+蔚来"",""宝马+小米""]",B,2
2,universal,single,华胜核心价值观是？,"[""诚信、专业、合作、进取"",""真诚、热爱、高效、创新"",""客户第一、员工第二"",""科学修车、透明服务""]",A,2
3,universal,single,小米核心价值观是？,"[""真诚热爱"",""合作共赢"",""技术为本"",""效率优先""]",A,2
4,universal,single,美嘉胜的发展目标是成为？,"[""小米汽车最佳战略服务商"",""全国最大维修连锁"",""豪华车专修第一品牌"",""新能源汽车制造商""]",A,2
5,universal,single,员工考勤每天工作几小时？,"[""6小时"",""8小时"",""10小时"",""12小时""]",B,2
6,universal,single,上下班打卡必须由谁操作？,"[""同事代打"",""本人亲自打卡"",""主管代打"",""无需打卡""]",B,2
7,universal,single,月度迟到早退累计几次按旷工1次处理？,"[""2次"",""4次"",""6次"",""8次""]",B,2
8,universal,single,连续旷工几天公司可解除劳动合同？,"[""1天"",""3天"",""5天"",""7天""]",B,2
9,universal,single,工资发放日为每月几号？,"[""5号"",""15号"",""20号"",""月底""]",B,2
10,universal,single,薪酬信息是否可以互相打听讨论？,"[""可以"",""私下可以"",""严禁"",""领导允许即可""]",C,2
11,universal,single,小米服务三大铁律不包括？,"[""体验为先"",""质量为本"",""首问责任制"",""价格最低""]",D,2
12,universal,single,美嘉胜高压线行为触碰后公司可？,"[""口头警告"",""解除合同不补偿"",""罚款"",""记过""]",B,2
13,universal,single,员工信息虚假，公司可如何处理？,"[""批评教育"",""解除合同无补偿"",""降薪调岗"",""记录档案""]",B,2
14,universal,single,车间作业是否可以吸烟？,"[""可以"",""休息区可以"",""严禁"",""领导不在可以""]",C,2
15,universal,single,新员工试用期最长不超过几个月？,"[""3个月"",""6个月"",""9个月"",""12个月""]",B,2
16,universal,single,员工年假按什么计算？,"[""工龄"",""岗位"",""业绩"",""入职月份""]",A,2
17,universal,single,小米汽车服务要求全程做到哪“三透明”？,"[""过程、项目、价格"",""时间、人员、配件"",""成本、利润、工时"",""系统、流程、标准""]",A,2
18,universal,single,首问责任制是指？,"[""谁接待谁负责闭环"",""店长负责到底"",""技术主管负责"",""客服负责""]",A,2
19,universal,single,员工离职正式工需提前几天申请？,"[""3天"",""7天"",""30天"",""当天""]",C,2
20,universal,single,手册与劳动合同效力关系是？,"[""手册高于合同"",""同等效力"",""合同高于手册"",""无关系""]",B,2
21,universal,multiple,小米服务理念包括？,"[""真诚"",""智能"",""管家式专属服务"",""低价""]","A,B,C",2
22,universal,multiple,华胜经营哲学“一个中心两个基本点”包括？,"[""建设优秀团队"",""企业文化"",""标准化管理"",""业绩第一""]","A,B,C",2
23,universal,multiple,以下哪些属于美嘉胜高压线？,"[""职务侵占"",""飞单"",""泄露客户信息"",""迟到""]","A,B,C",2
24,universal,multiple,安全生产要求包括？,"[""车间禁烟"",""规范用电"",""动火审批"",""佩戴护具""]","A,B,C,D",2
25,universal,multiple,员工福利包括？,"[""带薪年假"",""社保"",""节日礼品"",""员工基金""]","A,B,C,D",2
26,universal,multiple,以下哪些行为属于违纪？,"[""代打卡"",""上班玩手机"",""着装不规范"",""拒绝培训""]","A,B,C,D",2
27,universal,multiple,小米汽车红线包括？,"[""恶意竞争"",""以次充好"",""泄露信息"",""扩损""]","A,B,C,D",2
28,universal,multiple,员工职业发展双通道是？,"[""专业通道"",""管理通道"",""兼职通道"",""外包通道""]","A,B",2
29,universal,multiple,试用期不合格情形包括？,"[""资料虚假"",""考核不达标"",""旷工"",""不服从安排""]","A,B,C,D",2
30,universal,multiple,办公秩序要求包括？,"[""桌面整洁"",""下班关电源"",""禁止喧哗"",""禁止带小孩宠物""]","A,B,C,D",2
31,management,single,门店培训第一责任人是？,"[""人事"",""店长"",""技师长"",""服务主管""]",B,2
32,management,single,门店消防安全第一责任人是？,"[""店长"",""行政"",""保安"",""技术主管""]",A,2
33,management,single,部门员工一月内多次违反办公秩序，负责人需？,"[""乐捐"",""口头警告"",""记过"",""降级""]",A,2
34,management,single,员工不胜任工作，店长可依法？,"[""直接辞退"",""培训/调岗"",""降薪"",""罚款""]",B,2
35,management,single,小米要求门店服务经理出现红线需？,"[""罚款"",""到总部述职"",""停岗"",""开除""]",B,2
36,management,single,门店内训每月不少于几次？,"[""1次"",""2次"",""3次"",""4次""]",B,2
37,management,single,聘任管理中，晋升需经过几个月试聘期？,"[""1个月"",""3个月"",""6个月"",""12个月""]",B,2
38,management,single,客户重大投诉第一处置人是？,"[""店长"",""服务顾问"",""技术主管"",""人事""]",A,2
39,management,single,门店数据造造假属于什么行为？,"[""警戒线"",""高压线"",""一般违纪"",""不处理""]",B,2
40,management,single,员工手册确认书签署率要求达到？,"[""80%"",""90%"",""95%"",""100%""]",D,2
41,management,multiple,店长管理职责包括？,"[""团队建设"",""合规运营"",""客户体验"",""安全管理""]","A,B,C,D",4
42,management,multiple,以下属于店长红线责任的是？,"[""纵容造假"",""管理失职"",""包庇违纪"",""未组织培训""]","A,B,C,D",4
43,management,multiple,门店人员任免流程包括？,"[""竞聘"",""测评"",""公示"",""试聘""]","A,B,C,D",4
44,management,multiple,中台或门店组织述职的周期为？,"[""月度"",""季度"",""半年"",""年度""]","A,B,C,D",4
45,management,multiple,门店监督检查内容包括？,"[""仪容仪表"",""考勤纪律"",""安全操作"",""服务规范""]","A,B,C,D",4
46,service,single,服务岗对外微信昵称格式是？,"[""xiaomi|姓名(岗位)"",""随意起名"",""英文名"",""门店+姓名""]",A,2
47,service,single,小米服务要求接待要做到？,"[""微笑、正视、专业"",""快速办完就行"",""能省则省"",""先忙自己事""]",A,2
48,service,single,服务流程中“未完成提前关单”属于？,"[""警戒线"",""高压线"",""正常操作"",""允许偶尔""]",B,2
49,service,single,客户投诉处理原则是？,"[""首问负责、一次闭环"",""推给店长"",""拖延处理"",""让客户找厂家""]",A,2
50,service,single,服务岗禁止行为是？,"[""引导客户买外部产品"",""主动预约提醒保养"",""回访满意度"",""微笑服务""]",A,2
51,service,single,前台仪容仪表要求工服必须？,"[""干净整洁、佩戴工牌"",""可穿便装"",""可混搭"",""随意""]",A,2
52,service,single,客户信息是否可以外传？,"[""可以"",""严禁"",""熟人可以"",""领导同意可以""]",B,2
53,service,single,服务报价必须？,"[""透明、准确"",""先低后高"",""随意报价"",""看人报价""]",A,2
54,service,single,服务岗核心考核是？,"[""客户满意度"",""产值越高越好"",""加班时长"",""考勤""]",A,2
55,service,single,遇到无法解答的问题应？,"[""随便回答"",""找人协助、及时反馈"",""不理客户"",""推脱""]",B,2
56,service,multiple,小米服务三大铁律包括？,"[""体验为先"",""质量为本"",""首问责任制"",""快速响应""]","A,B,C",4
57,service,multiple,服务岗仪容仪表规范包括？,"[""统一工服"",""佩戴工牌"",""长发束起"",""禁止夸张首饰""]","A,B,C",4
58,service,multiple,服务沟通禁忌包括？,"[""敷衍客户"",""隐瞒信息"",""承诺做不到的事"",""耐心解答""]","A,B,C",4
59,service,multiple,服务流程标准环节包括？,"[""预约"",""接车"",""沟通反馈"",""回访""]","A,B,C,D",4
60,service,multiple,服务红线行为包括？,"[""态度恶劣"",""收费与实际不符"",""泄露客户信息"",""未按流程服务""]","A,B,C,D",4
61,technical,single,维修必须使用什么配件？,"[""原厂新件"",""旧件"",""修复件"",""便宜件""]",A,2
62,technical,single,拆装电池、电机必须遵守？,"[""小米安全作业规范"",""凭经验干"",""越快越好"",""不用防护""]",A,2
63,technical,single,维修造成新损伤属于？,"[""服务红线"",""正常情况"",""不处理"",""客户承担""]",A,2
64,technical,single,车间作业防护用品必须？,"[""正确佩戴"",""可戴可不戴"",""不用戴"",""天热不戴""]",A,2
65,technical,single,科学修车核心是？,"[""按标准、按流程"",""凭感觉"",""怎么快怎么来"",""能修就修""]",A,2
66,technical,single,技术岗认证证书中级有效期为？,"[""1年"",""3年"",""5年"",""长期""]",B,2
67,technical,single,举升机、设备操作必须？,"[""持证/按规程"",""谁都可以操作"",""快速操作"",""不用检查""]",A,2
68,technical,single,维修质量必须执行几级检验？,"[""一级"",""三级"",""不用检验"",""师傅说了算""]",B,2
69,technical,single,发现他人用假件不上报属于？,"[""同犯"",""无关"",""警告"",""记过""]",A,2
70,technical,single,动火作业（焊接）必须？,"[""申请审批、配灭火器"",""直接干"",""晚上干"",""周末干""]",A,2
71,technical,multiple,技术岗安全生产要求包括？,"[""佩戴护目镜"",""绝缘手套"",""规范举升机使用"",""车间严禁烟火""]","A,B,C,D",4
72,technical,multiple,以下哪些属于技术岗的高压线？,"[""偷换配件"",""私接私修"",""虚假检测"",""严重质量事故""]","A,B,C,D",4
73,technical,multiple,车间5S管理包括？,"[""整理"",""整顿"",""清洁"",""素养""]","A,B,C,D",4
74,technical,multiple,废旧物资处理要求？,"[""分类存放"",""按规处置"",""严禁私售"",""随处乱放""]","A,B,C",4
75,technical,multiple,科学修车的三大要素？,"[""标准流程"",""专用工具"",""厂家技术支持"",""个人经验""]","A,B,C",4
76,spare_parts,single,美嘉胜配件管理的核心原则是？,"[""准时、准确、合规"",""低价、大量、快速"",""随意、方便、简单"",""盈利第一""]",A,2
77,spare_parts,single,索赔件必须保存多久后方可按规定处理？,"[""3个月"",""6个月"",""12个月"",""厂家规定周期""]",D,2
78,spare_parts,single,发现配件实物与系统数据不符，应首先？,"[""直接修改系统"",""私下平账"",""查明原因并上报"",""不予理睬""]",C,2
79,spare_parts,single,配件采购必须遵守？,"[""合规流程"",""私下交易"",""低价优先"",""人情采购""]",A,2
80,spare_parts,single,索赔单提报必须？,"[""真实准确"",""夸大项目"",""虚假填报"",""随意提报""]",A,2
81,spare_parts,single,小米限定出库配件是否可用于维修？,"[""严禁"",""可以"",""紧急情况可以"",""领导同意可以""]",A,2
82,spare_parts,single,配件库存需定期？,"[""盘点核对"",""不管不问"",""随意调整"",""隐瞒差异""]",A,2
83,spare_parts,single,配件专员核心职责是？,"[""合规管理、保障供应"",""成本最低"",""快速出库"",""随意调配""]",A,2
84,spare_parts,single,旧件返厂包装要求？,"[""符合物流要求、标签清晰"",""随便包"",""不包"",""拆散包""]",A,2
85,spare_parts,single,配件入库必须核对？,"[""单据与实物一致"",""只看数量"",""只看包装"",""无需核对""]",A,2
86,spare_parts,multiple,配件管理核心要求包括？,"[""合规性"",""准确性"",""安全性"",""及时性""]","A,B,C,D",4
87,spare_parts,multiple,索赔业务禁止行为包括？,"[""虚假保修"",""扩大项目"",""套件"",""以旧充新""]","A,B,C,D",4
88,spare_parts,multiple,配件出入库流程包括？,"[""登记"",""核对"",""审批"",""存档""]","A,B,C,D",4
89,spare_parts,multiple,配件专员需遵守的红线包括？,"[""以次充好"",""数据造假"",""私自外借"",""泄露信息""]","A,B,C,D",4
90,spare_parts,multiple,旧件处理要求包括？,"[""按规定保管"",""如实登记"",""严禁私自售卖"",""配合厂家回收""]","A,B,C,D",4
91,support,single,人事档案、薪酬信息属于？,"[""核心机密"",""公开资料"",""可分享信息"",""随处可见""]",A,2
92,support,single,财务报销必须附带？,"[""合法发票"",""白条"",""手写说明"",""无需单据""]",A,2
93,support,single,行政办公用品领用应？,"[""按需领取、登记"",""随意拿"",""多领存放"",""私自带走""]",A,2
94,support,single,公司证照借用必须？,"[""办理借阅手续、限期归还"",""直接拿走"",""不用还"",""复印不用登记""]",A,2
95,support,single,招聘面试中严禁？,"[""地域/性别歧视"",""询问专业"",""了解经历"",""测试能力""]",A,2
96,support,single,费用支出必须遵循？,"[""先审批后执行"",""先干再说"",""自己说了算"",""无预算执行""]",A,2
97,support,single,合同签署前必须经过？,"[""法务/领导审核"",""直接盖章"",""业务员自签"",""口头约定""]",A,2
98,support,single,公章保管要求？,"[""专人保管、严禁私用"",""谁用谁拿"",""放在抽屉不锁"",""随身携带""]",A,2
99,support,single,员工离职后系统账号应？,"[""立即停用"",""留着给别人用"",""不处理"",""延迟一个月""]",A,2
100,support,single,职能部门的服务对象是？,"[""全公司员工及业务端"",""只有老板"",""只有上级"",""只有自己部门""]",A,2
101,support,multiple,财务管理红线包括？,"[""侵占公款"",""虚假报账"",""私设小金库"",""挪用资金""]","A,B,C,D",4
102,support,multiple,行政安全职责包括？,"[""用电安全"",""防盗安全"",""档案安全"",""网络安全""]","A,B,C,D",4
103,support,multiple,人力资源合规要求？,"[""依法签合同"",""依法缴社保"",""严禁雇佣童工"",""保护员工隐私""]","A,B,C,D",4
104,support,multiple,公文处理要求？,"[""及时"",""准确"",""保密"",""规范""]","A,B,C,D",4
105,support,multiple,职能岗核心要求？,"[""专业性"",""原则性"",""服务意识"",""合规性""]","A,B,C,D",4
